Disease Name,Short Description,General Precautions,Recommended Doctor / Specialist
protein deficiency,protein deficiency — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
myoclonus,myoclonus — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
bone spur of the calcaneous,bone spur of the calcaneous — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
von willebrand disease,von willebrand disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
open wound of the back,"open wound of the back — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
heart block,heart block — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist; ENT (Otolaryngologist)
colonic polyp,colonic polyp — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon
magnesium deficiency,magnesium deficiency — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
female infertility of unknown cause,female infertility of unknown cause — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pericarditis,pericarditis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
attention deficit hyperactivity disorder (adhd),attention deficit hyperactivity disorder (adhd) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
pulmonic valve disease,pulmonic valve disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
tietze syndrome,tietze syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
cranial nerve palsy,cranial nerve palsy — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
injury to the arm,"injury to the arm — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
conversion disorder,"conversion disorder — a mental health condition that affects mood, thoughts, or behavior; often treated with therapy and/or medication.",Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Psychiatrist / Psychologist
complex regional pain syndrome,complex regional pain syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
